Time Remaining,Down,Score Difference,Distance to First,Distance to Touchdown,Outcome,Previous Play Outcome,Play Type_field goal attempt,Play Type_kick attempt,Play Type_kneel,Play Type_pass,Play Type_punt,Play Type_rush left,Play Type_rush middle,Play Type_rush right,Best_field goal attempt,Best_kick attempt,Best_kneel,Best_pass,Best_punt,Best_rush left,Best_rush middle,Best_rush right
1721,1,28,10,77,35,10,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1721,1,28,10,52,2,35,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1721,2,28,8,50,6,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1721,3,28,2,44,20,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1721,1,28,10,34,0,20,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1721,2,28,9,33,-15,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1721,3,28,24,48,7,-15,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1721,4,28,17,41,0,7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1040,1,28,10,61,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1040,2,28,6,57,5,4,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1040,1,28,10,13,5,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
899,2,28,5,8,78,5,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
899,1,28,10,3,0,78,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
899,1,35,10,48,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
899,2,35,8,46,0,2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
899,4,35,28,66,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
899,1,35,10,78,8,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
899,2,35,2,70,32,8,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
